source_id,source_name,author,title,description,human_label,text,url,publishedAt,content,category,vader_compound,vader_label,vader_conf,bert_label,bert_conf,vader_score,bert_score
,BBC News,,It's going to be really bad': Fears over AI bubble bursting grow in Silicon Valley,Some are worried that the rapid rise in the value of AI tech companies may be a bubble waiting to burst.,negative,It's going to be really bad': Fears over AI bubble bursting grow in Silicon Valley — Some are worried that the rapid rise in the value of AI tech companies may be a bubble waiting to burst.,https://www.bbc.com/news/articles/cz69qy760weo,2025-10-10 23:55:36+00:00,"Lily JamaliTechnology correspondent, San Francisco
Silicon Valley is home to many major tech firms, including Apple's circular headquarters
At OpenAI's DevDaythis week, OpenAI boss Sam Altman did w… [+6901 chars]",General,-0.4364,negative,0.4364,negative,0.9997299314,-1,-1
,BBC News,,How China is challenging Nvidia's AI chip dominance,Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia?,negative,How China is challenging Nvidia's AI chip dominance — Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia?,https://www.bbc.com/news/articles/cgmz2vm3yv8o,2025-10-05 23:00:21+00:00,"Osmond ChiaBusiness reporter
Nvidia CEO Jensen Huang said China is ""nanoseconds behind"" the US in chips
The US has dominated the global technology market for decades. But China wants to change that… [+6985 chars]",General,0.6059,positive,0.6059,negative,0.9954267144,1,-1
,BBC News,,Students use AI to find possible cave entrances on Moon,The University of Kent says the pits may be able to support human survival on future space missions.,positive,Students use AI to find possible cave entrances on Moon — The University of Kent says the pits may be able to support human survival on future space missions.,https://www.bbc.com/news/articles/crkj3y6e4pmo,2025-10-08 05:05:12+00:00,"Artificial intelligence (AI) has been used to find two previously undiscovered possible cave entrances on the Moon, which could support human survival on future space missions.
Daniel Le Corre, a Ph… [+1270 chars]",General,0.4019,positive,0.4019,positive,0.7106196284,1,1
bbc-news,BBC News,,The Briefing Room,Could an AI bubble or so-called ‘shadow banking’ threaten the global economy?,negative,The Briefing Room — Could an AI bubble or so-called ‘shadow banking’ threaten the global economy?,https://www.bbc.co.uk/sounds/play/m002l3hr,2025-10-23 19:10:00+00:00,"Available for over a year
Some of the biggest figures in finance, from the CEO of JPMorganChase to the Governor of the Bank of England, have been warning of potential shocks to the global economy. 
… [+1081 chars]",General,-0.3818,negative,0.3818,negative,0.9985616803,-1,-1
bbc-news,BBC News,,Trump’s ‘CEO of everything’,"Who is Larry Ellison, and what is his hold on America’s AI, attention and legacy media?",negative,"Trump’s ‘CEO of everything’ — Who is Larry Ellison, and what is his hold on America’s AI, attention and legacy media?",https://www.bbc.co.uk/sounds/play/w3ct71fs,2025-10-08 09:00:00+00:00,"Available for over a year
The billionaire Larry Ellison could soon control huge portions of Americas AI, attention economy and legacy media. He already owns swathes of AI infrastructure and is prepa… [+553 chars]",General,0,neutral,0,negative,0.9788203835,0,-1
,BBC News,,Myanmar's army is taking back territory with relentless air strikes - and China's help,China has thrown its weight behind the junta - and its widely condemned plan to hold an election in December.,negative,Myanmar's army is taking back territory with relentless air strikes - and China's help — China has thrown its weight behind the junta - and its widely condemned plan to hold an election in December.,https://www.bbc.com/news/articles/c051m0jn392o,2025-10-22 22:09:32+00:00,"Jonathan HeadSouth East Asia correspondent 
When insurgents finally gained control of the town of Kyaukme - on the main trade route from the Chinese border to the rest of Myanmar - it was after seve… [+11509 chars]",General,-0.3612,negative,0.3612,negative,0.9727600813,-1,-1
,BBC News,,The new AI arms race changing the war in Ukraine,"Both Ukraine and Russia use AI in battle, but removing human decision-making comes with risks.",negative,"The new AI arms race changing the war in Ukraine — Both Ukraine and Russia use AI in battle, but removing human decision-making comes with risks.",https://www.bbc.com/news/articles/cly7jrez2jno,2025-10-10 00:26:16+00:00,"Abdujalil AbdurasulovIn Kyiv
Russian AI drones such as this present a new challenge to Ukraine, says Serhiy Beskrestnov
""This technology is our future threat,"" warns Serhiy Beskrestnov, who has jus… [+4612 chars]",General,-0.7096,negative,0.7096,negative,0.9962835908,-1,-1
,BBC News,,Tech billionaires seem to be doom prepping. Should we all be worried?,The debate is ramping up about what happens if - or when - computer intelligence overtakes humans,negative,Tech billionaires seem to be doom prepping. Should we all be worried? — The debate is ramping up about what happens if - or when - computer intelligence overtakes humans,https://www.bbc.com/news/articles/cly17834524o,2025-10-09 23:02:51+00:00,"Mark Zuckerberg is said to have started work on Koolau Ranch, his sprawling 1,400-acre compound on the Hawaiian island of Kauai, as far back as 2014. 
It is set to include a shelter, complete with i… [+11540 chars]",General,-0.2023,negative,0.2023,negative,0.9971827269,-1,-1
,BBC News,,MrBeast: AI means it's 'scary times' for YouTube creators,He says he's worried about what will happen to millions of creators when AI videos are as good as normal ones.,negative,MrBeast: AI means it's 'scary times' for YouTube creators — He says he's worried about what will happen to millions of creators when AI videos are as good as normal ones.,https://www.bbc.com/news/articles/cm2zmm0ry67o,2025-10-07 11:15:05+00:00,"The world's biggest YouTuber, MrBeast, says the rapid advance of generative artificial intelligence (AI) is ""scary"" for the ""millions of creators currently making content for a living"".
AI tools tha… [+2550 chars]",General,-0.3612,negative,0.3612,negative,0.9928043485,-1,-1
,BBC News,,Character.ai to ban teens from talking to its AI chatbots,"The AI chatbot app, which has millions of users, said it was responding to parents and regulators.",negative,"Character.ai to ban teens from talking to its AI chatbots — The AI chatbot app, which has millions of users, said it was responding to parents and regulators.",https://www.bbc.com/news/articles/cq837y3v9y1o,2025-10-29 13:01:51+00:00,"Imran Rahman-Jones,technology reporters
Chatbot site Character.ai is cutting off teenagers from having conversations with virtual characters, after facing scrutiny over their stance for several year… [+3787 chars]",General,-0.5574,negative,0.5574,negative,0.9910727143,-1,-1
